Comment,Label
Thanks for your help.,0
Nobody cares about your crap.,1
Well done! You nailed it.,0
Great job on that project!,0
"Fuck off, you moron.",1
Stop spewing your crap here.,1
Your kindness is inspiring.,0
"Fuck off, you moron.",1
Fantastic teamwork!,0
"Fuck off, you moron.",1
Well done! You nailed it.,0
"Shut the fuck up, idiot.",1
Nobody cares about your crap.,1
Fantastic teamwork!,0
Stop spewing your crap here.,1
Great job on that project!,0
What a fucking waste of space.,1
"Fucking loser, just quit already.",1
"Fuck off, you moron.",1
Get your shitty act together.,1
Keep up the great spirit!,0
Get your shitty act together.,1
Thanks for your help.,0
Stop spewing your crap here.,1
What a wonderful performance!,0
"Fucking loser, just quit already.",1
Great job on that project!,0
You're such a piece of shit.,1
Fantastic teamwork!,0
Your kindness is inspiring.,0
Great job on that project!,0
"Fucking loser, just quit already.",1
That was brilliant work.,0
Fantastic teamwork!,0
Great job on that project!,0
Fantastic teamwork!,0
Great job on that project!,0
What a fucking waste of space.,1
That was brilliant work.,0
You're such a piece of shit.,1
What a wonderful performance!,0
Keep up the great spirit!,0
Keep up the great spirit!,0
Nobody cares about your crap.,1
That was brilliant work.,0
That was brilliant work.,0
That was brilliant work.,0
"Fucking loser, just quit already.",1
Fantastic teamwork!,0
What a wonderful performance!,0
"Shut the fuck up, idiot.",1
You're a useless cunt.,1
You are truly amazing.,0
"You dumbass, go to hell.",1
Thanks for your help.,0
Well done! You nailed it.,0
"Fuck off, you moron.",1
"Fucking loser, just quit already.",1
That was brilliant work.,0
Your kindness is inspiring.,0
Well done! You nailed it.,0
Well done! You nailed it.,0
"Fuck off, you moron.",1
You are truly amazing.,0
What a wonderful performance!,0
Get your shitty act together.,1
Your kindness is inspiring.,0
Stop spewing your crap here.,1
Well done! You nailed it.,0
What a fucking waste of space.,1
Fantastic teamwork!,0
Fantastic teamwork!,0
"You dumbass, go to hell.",1
You're a useless cunt.,1
You're a useless cunt.,1
"Fuck off, you moron.",1
Stop spewing your crap here.,1
You're such a piece of shit.,1
Keep up the great spirit!,0
Nobody cares about your crap.,1
"Shut the fuck up, idiot.",1
Thanks for your help.,0
What a wonderful performance!,0
Keep up the great spirit!,0
You are truly amazing.,0
"Fuck off, you moron.",1
Thanks for your help.,0
"Fuck off, you moron.",1
You're a useless cunt.,1
Great job on that project!,0
Keep up the great spirit!,0
You're such a piece of shit.,1
Fantastic teamwork!,0
You are truly amazing.,0
"You dumbass, go to hell.",1
Thanks for your help.,0
"Fucking loser, just quit already.",1
"Fucking loser, just quit already.",1
Thanks for your help.,0
Well done! You nailed it.,0
Nobody cares about your crap.,1
"Shut the fuck up, idiot.",1
What a fucking waste of space.,1
What a wonderful performance!,0
You're a star player!,0
You are truly amazing.,0
"You dumbass, go to hell.",1
Fantastic teamwork!,0
What a fucking waste of space.,1
You are truly amazing.,0
What a wonderful performance!,0
You're a star player!,0
Well done! You nailed it.,0
You're a star player!,0
Thanks for your help.,0
Keep up the great spirit!,0
You are truly amazing.,0
Well done! You nailed it.,0
Keep up the great spirit!,0
You are truly amazing.,0
"Shut the fuck up, idiot.",1
"Fucking loser, just quit already.",1
You're such a piece of shit.,1
You're a star player!,0
Great job on that project!,0
That was brilliant work.,0
Nobody cares about your crap.,1
Well done! You nailed it.,0
You're a useless cunt.,1
Fantastic teamwork!,0
"Fucking loser, just quit already.",1
Your kindness is inspiring.,0
You are truly amazing.,0
Great job on that project!,0
You're a useless cunt.,1
You're a useless cunt.,1
Thanks for your help.,0
You're a star player!,0
Great job on that project!,0
"You dumbass, go to hell.",1
Your kindness is inspiring.,0
What a fucking waste of space.,1
Stop spewing your crap here.,1
Thanks for your help.,0
Get your shitty act together.,1
That was brilliant work.,0
You're such a piece of shit.,1
You're such a piece of shit.,1
You're a useless cunt.,1
"Fucking loser, just quit already.",1
You're a star player!,0
You're such a piece of shit.,1
Well done! You nailed it.,0
"Fuck off, you moron.",1
Stop spewing your crap here.,1
"Shut the fuck up, idiot.",1
Keep up the great spirit!,0
That was brilliant work.,0
Nobody cares about your crap.,1
"Fucking loser, just quit already.",1
You're a star player!,0
Get your shitty act together.,1
Stop spewing your crap here.,1
You're such a piece of shit.,1
Your kindness is inspiring.,0
"You dumbass, go to hell.",1
"Fuck off, you moron.",1
Stop spewing your crap here.,1
What a fucking waste of space.,1
You're such a piece of shit.,1
"Fuck off, you moron.",1
Well done! You nailed it.,0
Get your shitty act together.,1
Get your shitty act together.,1
Get your shitty act together.,1
"Fucking loser, just quit already.",1
You are truly amazing.,0
Get your shitty act together.,1
You are truly amazing.,0
Nobody cares about your crap.,1
You're a star player!,0
"Fuck off, you moron.",1
Get your shitty act together.,1
That was brilliant work.,0
Nobody cares about your crap.,1
You're a useless cunt.,1
You're a useless cunt.,1
"Fuck off, you moron.",1
